,NunezPredicted,NunezRealHits,Round,SecondsIntoRound,lastAction,SecondsLastRoundAction,cmTotHitsR.X1,cmTotHitsL.X1,cmTotHitsM.X1,TotMissedX1,TotReceivedX1,cmTotHitsR.X2,cmTotHitsL.X2,cmTotHitsM.X2,TotLandsX2,TotMissedX2,Crossl.X2,Kneel.X2,Elbowl.X2,Hookl.X2,Jabl.X2,Kickl.X2,upperl.X2,takedownl.X2,hammerl.X2,Cross2l.X2,Knee2l.X2,Elbow2l.X2,Hook2l.X2,Jab2l.X2,Kick2l.X2,upper2l.X2,takedown2l.X2,hammer2l.X2,Cross3l.X2,Knee3l.X2,Elbow3l.X2,Hook3l.X2,Jab3l.X2,Kick3l.X2,upper3l.X2,takedown3l.X2,hammer3l.X2,Crossm.X1,Kneem.X1,Elbowm.X1,Hookm.X1,Jabm.X1,Kickm.X1,upperm.X1,takedownm.X1,hammerm.X1,Cross2m.X1,Knee2m.X1,Elbow2m.X1,Hook2m.X1,Jab2m.X1,Kick2m.X1,upper2m.X1,takedown2m.X1,hammer2m.X1,Cross3m.X1,Knee3m.X1,Elbow3m.X1,Hook3m.X1,Jab3m.X1,Kick3m.X1,upper3m.X1,takedown3m.X1,hammer3m.X1,Crossm.X2,Kneem.X2,Elbowm.X2,Hookm.X2,Jabm.X2,Kickm.X2,upperm.X2,takedownm.X2,hammerm.X2,Cross2m.X2,Knee2m.X2,Elbow2m.X2,Hook2m.X2,Jab2m.X2,Kick2m.X2,upper2m.X2,takedown2m.X2,hammer2m.X2,Cross3m.X2,Knee3m.X2,Elbow3m.X2,Hook3m.X2,Jab3m.X2,Kick3m.X2,upper3m.X2,takedown3m.X2,hammer3m.X2,Crossr.X1,Kneer.X1,Elbowr.X1,Hookr.X1,Jabr.X1,Kickr.X1,upperr.X1,takedownr.X1,hammerr.X1,Cross2r.X1,Knee2r.X1,Elbow2r.X1,Hook2r.X1,Jab2r.X1,Kick2r.X1,upper2r.X1,takedown2r.X1,hammer2r.X1,Cross3r.X1,Knee3r.X1,Elbow3r.X1,Hook3r.X1,Jab3r.X1,Kick3r.X1,upper3r.X1,takedown3r.X1,hammer3r.X1,Crossr.X2
4,1,1,1,37,20,17,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,1,1,238,235,3,2,7,17,1,0,9,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,1,2,151,138,151,3,4,9,0,0,4,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,1,1,12,4,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,1,1,41,37,4,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,1,1,255,251,4,2,8,17,0,0,10,2,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,2,2,130,125,130,3,2,9,0,0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,2,1,172,169,3,2,6,12,0,0,7,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,1,1,287,284,3,4,8,17,0,2,10,4,9,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,1,2,40,38,40,0,2,4,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
