Round,SecondsIntoRound,SecondsLastRoundAction,cmTotHitsR-X1,cmTotHitsL-X1,cmTotHitsM-X1,Hits-Recvd-X1,Hits-Lnd-X1,Hits-Mssd-X1,cmTotHitsR-X2,cmTotHitsL-X2,cmTotHitsM-X2,Hits-Recvd-X2,Hits-Lnd-X2,Hits-Mssd-X2,Time,FighterActionReactions.X1,FightersActionsReactions.X2,Notes
1,,,,,,,,,,,,,,,5:00,,,Pennington
1,,,,,,,,,,,,,,,4:59,,,Pennington
1,,,,,,,,,,,,,,,4:58,,,Pennington
1,,,,,,,,,,,,,,,4:57,,,Pennington
1,,,,,,,,,,,,,,,4:56,,,Pennington
1,,,,,,,,,,,,,,,4:55,,,Pennington
1,,,,,,,,,,,,,,,4:54,,,Pennington
1,,,,,,,,,,,,,,,4:53,,,Pennington
1,,,,,,,,,,,,,,,4:52,,,Pennington
1,,,,,,,,,,,,,,,4:51,,,Pennington
1,,,,,,,,,,,,,,,4:50,,,Pennington
1,,,,,,,,,,,,,,,4:49,,,Pennington
1,,,,,,,,,,,,,,,4:48,,,Pennington
1,,,,,,,,,,,,,,,4:47,,,Pennington
1,,,,,,,,,,,,,,,4:46,,,Pennington
1,,,,,,,,,,,,,,,4:45,,,Pennington
1,,,,,,,,,,,,,,,4:44,,,Pennington
1,,,,,,,,,,,,,,,4:43,,,Pennington
1,,,,,,,,,,,,,,,4:42,,,Pennington
1,,,,,,,,,,,,,,,4:41,,,Pennington
1,,,,,,,,,,,,,,,4:40,,,Pennington
1,,,,,,,,,,,,,,,4:39,,,Pennington
1,,,,,,,,,,,,,,,4:38,,,Pennington
1,,,,,,,,,,,,,,,4:37,misses R mt kick to low L lead leg,falls avoiding the kick,Pennington
1,,,,,,,,,,,,,,,4:36,,,Pennington
1,,,,,,,,,,,,,,,4:35,,,Pennington
1,,,,,,,,,,,,,,,4:34,,,Pennington
1,,,,,,,,,,,,,,,4:33,,,Pennington
1,,,,,,,,,,,,,,,4:32,,,Pennington
1,,,,,,,,,,,,,,,4:31,,,Pennington
1,,,,,,,,,,,,,,,4:30,,,Pennington
1,,,,,,,,,,,,,,,4:29,,,Pennington
1,,,,,,,,,,,,,,,4:28,,,Pennington
1,,,,,,,,,,,,,,,4:27,,,Pennington
1,,,,,,,,,,,,,,,4:26,,,Pennington
1,,,,,,,,,,,,,,,4:25,misses R cross,,Pennington
1,,,,,,,,,,,,,,,4:24,,,Pennington
1,,,,,,,,,,,,,,,4:23,,,Pennington
1,,,,,,,,,,,,,,,4:22,misses R mt kick to low L lead leg,blocks with L hand kick,Pennington
1,,,,,,,,,,,,,,,4:21,,,Pennington
1,,,,,,,,,,,,,,,4:20,,,Pennington
1,,,,,,,,,,,,,,,4:19,misses R mt kick to low L lead leg,lifts L leg to avoid kick,Pennington
1,,,,,,,,,,,,,,,4:18,,,Pennington
1,,,,,,,,,,,,,,,4:17,,,Pennington
1,,,,,,,,,,,,,,,4:16,,,Pennington
1,,,,,,,,,,,,,,,4:15,,,Pennington
1,,,,,,,,,,,,,,,4:14,misses R mt kick to low L lead leg,jumps back to avoid kick,Pennington
1,,,,,,,,,,,,,,,4:13,,,Pennington
1,,,,,,,,,,,,,,,4:12,,,Pennington
1,,,,,,,,,,,,,,,4:11,,,Pennington
1,,,,,,,,,,,,,,,4:10,,,Pennington
1,,,,,,,,,,,,,,,4:09,,,Pennington
1,,,,,,,,,,,,,,,4:08,,,Pennington
1,,,,,,,,,,,,,,,4:07,,,Pennington
1,,,,,,,,,,,,,,,4:06,,,Pennington
1,,,,,,,,,,,,,,,4:05,,,Pennington
1,,,,,,,,,,,,,,,4:04,,,Pennington
1,,,,,,,,,,,,,,,4:03,,,Pennington
1,,,,,,,,,,,,,,,4:02,,,Pennington
1,,,,,,,,,,,,,,,4:01,,,Pennington
1,,,,,,,,,,,,,,,4:00,misses L jab to face,leans back to avoid jab,Pennington
1,,,,,,,,,,,,,,,3:59,,,Pennington
1,,,,,,,,,,,,,,,3:58,misses R mt kick to low L lead leg,jumps back to avoid kick,Pennington
1,,,,,,,,,,,,,,,3:57,,"stumbles, drops to ground off balance",Pennington
1,,,,,,,,,,,,,,,3:56,,,Pennington
1,,,,,,,,,,,,,,,3:55,,,Pennington
1,,,,,,,,,,,,,,,3:54,feigns L mt kick to inside L lead leg,,Pennington
1,,,,,,,,,,,,,,,3:53,,,Pennington
1,,,,,,,,,,,,,,,3:52,,,Pennington
1,,,,,,,,,,,,,,,3:51,missses R mt kick to low L lead leg,misses R cross,Pennington
1,,,,,,,,,,,,,,,3:50,,,Pennington
1,,,,,,,,,,,,,,,3:49,,,Pennington
1,,,,,,,,,,,,,,,3:48,,,Pennington
1,,,,,,,,,,,,,,,3:47,,,Pennington
1,,,,,,,,,,,,,,,3:46,misses R mt kick to low L lead leg,jumps back to avoid kick,Pennington
1,,,,,,,,,,,,,,,3:45,,,Pennington
1,,,,,,,,,,,,,,,3:44,,,Pennington
1,,,,,,,,,,,,,,,3:43,,,Pennington
1,,,,,,,,,,,,,,,3:42,"lands L jab to body, misses R cross to face",,Pennington
1,,,,,,,,,,,,,,,3:41,,,Pennington
1,,,,,,,,,,,,,,,3:40,,,Pennington
1,,,,,,,,,,,,,,,3:39,misses L jab to body,,Pennington
1,,,,,,,,,,,,,,,3:38,misses R mt kick to low L lead leg,blocks kick with L leg knee raised,Pennington
1,,,,,,,,,,,,,,,3:37,,,Pennington
1,,,,,,,,,,,,,,,3:36,,,Pennington
1,,,,,,,,,,,,,,,3:35,,,Pennington
1,,,,,,,,,,,,,,,3:34,misses R mt kick to low L lead leg,jumps back to avoid kick,Pennington
1,,,,,,,,,,,,,,,3:33,,"misses L jab to face, misses R cross",Pennington
1,,,,,,,,,,,,,,,3:32,,misses L hook to face,Pennington
1,,,,,,,,,,,,,,,3:31,misses R mt kick to low L lead leg,,Pennington
1,,,,,,,,,,,,,,,3:30,,,Pennington
1,,,,,,,,,,,,,,,3:29,,,Pennington
1,,,,,,,,,,,,,,,3:28,,,Pennington
1,,,,,,,,,,,,,,,3:27,,,Pennington
1,,,,,,,,,,,,,,,3:26,misses L jab to body,,Pennington
1,,,,,,,,,,,,,,,3:25,,,Pennington
1,,,,,,,,,,,,,,,3:24,,,Pennington
1,,,,,,,,,,,,,,,3:23,,,Pennington
1,,,,,,,,,,,,,,,3:22,misses R mt kick to low L lead leg,lifts L leg to avoid kick,Pennington
1,,,,,,,,,,,,,,,3:21,"misses L jab to face, misses R cross to face","misses L hook to face, misses R cross to face",Pennington
1,,,,,,,,,,,,,,,3:20,pushes off with R forearm,getting push back on heels,Pennington
1,,,,,,,,,,,,,,,3:19,,,Pennington
1,,,,,,,,,,,,,,,3:18,,,Pennington
1,,,,,,,,,,,,,,,3:17,misses L jab to body,blocks jab with raised L leg,Pennington
1,,,,,,,,,,,,,,,3:16,,,Pennington
1,,,,,,,,,,,,,,,3:15,,,Pennington
1,,,,,,,,,,,,,,,3:14,,,Pennington
1,,,,,,,,,,,,,,,3:13,,,Pennington
1,,,,,,,,,,,,,,,3:12,"lands R mt kick to low L back of knee, misses L jab, misses R cross","blocks L jab, ducks back from R cross",Pennington
1,,,,,,,,,,,,,,,3:11,"blocks L jab by raising L Shoulder, misses R cross to face","misses L jab to face , ducks R cross to face",Pennington
1,,,,,,,,,,,,,,,3:10,pushes Face with R hand and away,attempts body clinch,Pennington
1,,,,,,,,,,,,,,,3:09,,,Pennington
1,,,,,,,,,,,,,,,3:08,,,Pennington
1,,,,,,,,,,,,,,,3:07,,,Pennington
1,,,,,,,,,,,,,,,3:06,,,Pennington
1,,,,,,,,,,,,,,,3:05,,,Pennington
1,,,,,,,,,,,,,,,3:04,misses L jab to body,misses L kick to body,Pennington
1,,,,,,,,,,,,,,,3:03,,,Pennington
1,,,,,,,,,,,,,,,3:02,,,Pennington
1,,,,,,,,,,,,,,,3:01,,,Pennington
1,,,,,,,,,,,,,,,3:00,"misses L jab to body, leans back from R cross to face",misses R cross to face,Pennington
1,,,,,,,,,,,,,,,2:59,misses R cross,ducks R cross,Pennington
1,,,,,,,,,,,,,,,2:58,,misses R cross to face,Pennington
1,,,,,,,,,,,,,,,2:57,,,Pennington
1,,,,,,,,,,,,,,,2:56,,,Pennington
1,,,,,,,,,,,,,,,2:55,misses L jab to face,blocks w L arm,Pennington
1,,,,,,,,,,,,,,,2:54,,,Pennington
1,,,,,,,,,,,,,,,2:53,,,Pennington
1,,,,,,,,,,,,,,,2:52,,,Pennington
1,,,,,,,,,,,,,,,2:51,misses L jab to body,,Pennington
1,,,,,,,,,,,,,,,2:50,,,Pennington
1,,,,,,,,,,,,,,,2:49,,,Pennington
1,,,,,,,,,,,,,,,2:48,misses R cross to face,blocks with L shoulder,Pennington
1,,,,,,,,,,,,,,,2:47,misses L jab to face,blocks with R hand the jab,Pennington
1,,,,,,,,,,,,,,,2:46,,,Pennington
1,,,,,,,,,,,,,,,2:45,,,Pennington
1,,,,,,,,,,,,,,,2:44,ducks ,misses R hook to face,Pennington
1,,,,,,,,,,,,,,,2:43,,,Pennington
1,,,,,,,,,,,,,,,2:42,,,Pennington
1,,,,,,,,,,,,,,,2:41,misses R mt kick to low L lead leg,jumps back to avoid kick,Pennington
1,,,,,,,,,,,,,,,2:40,,,Pennington
1,,,,,,,,,,,,,,,2:39,,,Pennington
1,,,,,,,,,,,,,,,2:38,ducks and clinches waist pushes to cage,"misses L jab, misses R cross to face",Pennington
1,,,,,,,,,,,,,,,2:37,,,Pennington
1,,,,,,,,,,,,,,,2:36,,,Pennington
1,,,,,,,,,,,,,,,2:35,,,Pennington
1,,,,,,,,,,,,,,,2:34,,,Pennington
1,,,,,,,,,,,,,,,2:33,,,Pennington
1,,,,,,,,,,,,,,,2:32,,,Pennington
1,,,,,,,,,,,,,,,2:31,,,Pennington
