Round,SecondsIntoRound,SecondsLastRoundAction,cmTotHitsR-X1,cmTotHitsL-X1,cmTotHitsM-X1,Hits-Recvd-X1,Hits-Lnd-X1,Hits-Mssd-X1,cmTotHitsR-X2,cmTotHitsL-X2,cmTotHitsM-X2,Hits-Recvd-X2,Hits-Lnd-X2,Hits-Mssd-X2,Time,MasvidalFighterActionReactions,TillFightersActionsReactions,notes
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5:00,runs in for low kick immediately,0,"liverpool, England and Till (south paw) is the favorite, Masvidal (orthodox-switches) is boo'd and welcomes it, crowd sings some UK theme song most of fight and before"
1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4:57,lands illegal groin kick,referee pauses fight 30 seconds to regain,
1,12,8,1,0,0,1,0,0,0,1,0,0,1,0,4:49,receives head shot,lands left hit to head,
1,13,1,1,0,0,0,0,0,0,1,0,0,0,0,4:48,drops to ground,0,
1,20,8,1,0,0,0,0,0,0,1,0,0,0,0,4:41,still on the ground,overpowering on top,
1,37,17,1,0,0,0,0,0,0,1,0,0,0,0,4:24,have been wrestling for power,dominates on top,
1,41,4,2,0,0,1,0,0,0,2,0,0,1,0,4:20,0,lands R knee to face,
1,42,5,2,0,0,0,0,0,0,2,0,0,0,0,4:19,both stand,both standing,
1,44,2,2,0,1,0,0,1,0,2,0,0,0,0,4:17,misses R mt kick,0,
1,46,2,3,0,1,1,0,0,0,3,0,0,1,0,4:15,0,lands L mt kick to R body,
1,48,4,3,0,2,0,0,1,0,3,0,0,0,0,4:13,misses L head shot,0,
1,49,1,3,2,2,0,2,0,2,3,0,2,0,0,4:12,"lands R overhead/hook to head, lands 2nd short R jab to head",0,
1,50,1,3,2,3,0,0,1,2,3,0,0,0,0,4:11,misses R mt kick to head,0,
1,55,5,3,3,3,0,1,0,3,3,0,1,0,0,4:06,Lands R mt kick low leg,receives R low leg inside kick,
1,63,8,3,3,4,0,0,1,3,3,0,0,0,0,3:58,misses R mt kick to body,blocks R mt kick to body,
1,66,2,4,3,4,1,0,0,3,4,0,0,1,0,3:55,drops to ground,takes down with leg block,
1,67,1,4,4,4,0,1,0,4,4,0,1,0,0,3:54,lands ground kick up to R leg w L leg,0,
1,70,3,4,4,4,0,0,0,4,4,0,0,0,0,3:51,wrestling for dominance on bottom,not in guard,
1,80,10,4,4,4,0,0,0,4,4,0,0,0,0,3:41,still on the ground,"on top, not getting guard",
1,81,11,4,4,4,0,0,0,4,4,0,0,0,0,3:40,"keeping Till's hands,head,arms close",0,
1,84,14,4,6,4,0,2,0,6,4,0,2,0,0,3:37,"lands R hit to chin from ground, lands L push kick from ground",blocks L kick to body,
1,85,1,4,6,4,0,0,0,6,4,0,0,0,0,3:36,both stand,0,
1,94,10,4,7,4,0,1,0,7,4,0,1,0,0,3:27,Lands R mt kick low leg,receives R low leg inside kick,
1,95,1,4,8,4,0,1,0,8,4,0,1,0,0,3:26,lands R mt kick to L arm,blocks R mt kick to body,
1,110,16,4,8,5,0,0,1,8,4,0,0,0,0,3:11,misses L jab,0,
1,120,10,4,8,5,0,0,0,8,4,1,0,0,1,3:01,0,misses R jab,
1,122,2,4,8,6,0,0,1,8,4,1,0,0,0,2:59,misses R mt kick to R inside leg,0,
1,129,7,4,8,7,0,0,1,8,4,1,0,0,0,2:52,misses R overhead hit to head,0,
1,133,4,4,8,9,0,0,2,8,4,1,0,0,0,2:48,"misses R mt kick to body, misses R overhead hit to head",0,
1,137,4,4,8,9,0,0,0,8,4,1,0,0,0,2:44,attempts take down of R leg grab,0,
1,138,1,4,8,9,0,0,0,8,4,1,0,0,0,2:43,holding R leg standing,0,
1,139,1,4,9,10,0,1,1,9,4,1,1,0,0,2:42,"lands L overhead/hook to head, misses 2nd short L jab to head",0,
1,140,1,4,9,11,0,0,1,9,4,1,0,0,0,2:41,misses R uppercut to chin,0,
1,143,4,4,9,12,0,0,1,9,4,1,0,0,0,2:38,misses L jab backing up,0,
1,147,4,4,9,13,0,0,1,9,4,1,0,0,0,2:34,misses R mt kick to low leg,0,
1,153,6,5,9,13,1,0,0,9,5,2,0,1,1,2:28,0,"misses R jab, lands L shot to face",
1,157,4,5,10,13,0,1,0,10,5,3,1,0,1,2:24,"Lands L jab to face, misses R hook to body",misses L power shot to face,
1,169,12,5,10,14,0,0,1,10,5,4,0,0,1,2:12,misses R elbow to face,misses L powershot to head,
1,172,3,5,10,14,0,0,0,10,5,5,0,0,1,2:09,0,misses R jab to head,
1,173,1,5,10,14,0,0,0,10,5,6,0,0,1,2:08,0,misses L power shot to head,
1,180,8,5,10,16,0,0,2,10,5,6,0,0,0,2:01,"misses R jab, misses R hook to head",0,
1,192,12,5,10,17,0,0,1,10,5,6,0,0,0,1:49,misses L jab to head,0,
1,195,3,5,10,17,0,0,0,10,5,7,0,0,1,1:46,0,"misses R jab, misses L cross to head",
1,205,10,6,10,17,1,0,0,10,6,7,0,1,0,1:36,grabs L leg with R arm,Lands L mt kick to body,
1,206,1,6,11,18,0,1,1,11,6,7,1,0,0,1:35,"misses L jab to head, lands R mt kick to R low leg",0,
1,234,28,6,11,19,0,0,1,11,6,7,0,0,0,1:07,misses R overhead hit to head forward stepping,0,
1,235,1,6,12,19,0,1,0,12,6,7,1,0,0,1:06,lands L hook to chin,0,
1,238,3,6,12,20,0,0,1,12,6,7,0,0,0,1:03,misses R mt kick to body,0,
1,245,7,6,13,20,0,1,0,13,6,7,1,0,0,0:56,lands L hook to chin,0,
1,250,5,6,13,20,0,0,0,13,6,8,0,0,1,0:51,0,misses R jab to face,
